station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBCG,2023-01-01 00:00,77.00,71.60,83.44,,2.00,0.00,29.91,,6.21,,FEW,FEW,,,4500.00,5000.00,,,,,,,,,,77.00,SBCG 010000Z VRB02KT 9999 FEW045 FEW050TCU 25/22 Q1013,
SBCG,2023-01-01 01:00,75.20,73.40,94.14,20.00,2.00,0.00,29.91,,6.21,,FEW,FEW,,,4500.00,5000.00,,,,,,,,,,75.20,SBCG 010100Z 02002KT 9999 FEW045 FEW050TCU 24/23 Q1013,
SBCG,2023-01-01 02:00,77.00,69.80,78.48,10.00,6.00,0.00,29.94,,6.21,,FEW,FEW,,,4500.00,5000.00,,,,,,,,,,77.00,SBCG 010200Z 01006KT 9999 FEW045 FEW050TCU 25/21 Q1014,
SBCG,2023-01-01 03:00,77.00,69.80,78.48,30.00,5.00,0.00,29.91,,6.21,,FEW,FEW,,,4500.00,5000.00,,,,,,,,,,77.00,SBCG 010300Z 03005KT 9999 FEW045 FEW050TCU 25/21 Q1013,
SBCG,2023-01-01 04:00,75.20,69.80,83.32,10.00,6.00,0.00,29.91,,6.21,,FEW,FEW,,,4500.00,5000.00,,,,,,,,,,75.20,SBCG 010400Z 01006KT 9999 FEW045 FEW050TCU 24/21 Q1013,
SBCG,2023-01-01 05:00,75.20,69.80,83.32,20.00,6.00,0.00,29.88,,6.21,,FEW,,,,4500.00,,,,,,,,,,,75.20,SBCG 010500Z 02006KT 9999 FEW045 24/21 Q1012,
SBCG,2023-01-01 06:00,75.20,68.00,78.34,350.00,7.00,0.00,29.85,,6.21,,FEW,,,,4500.00,,,,,,,,,,,75.20,SBCG 010600Z 35007KT 9999 FEW045 24/20 Q1011,
SBCG,2023-01-01 07:00,75.20,68.00,78.34,10.00,8.00,0.00,29.88,,6.21,,FEW,,,,4500.00,,,,,,,,,,,75.20,SBCG 010700Z 01008KT 9999 FEW045 24/20 Q1012,
SBCG,2023-01-01 08:00,73.40,68.00,83.21,30.00,6.00,0.00,29.88,,6.21,,FEW,,,,4500.00,,,,,,,,,,,73.40,SBCG 010800Z 03006KT 9999 FEW045 23/20 Q1012,
SBCG,2023-01-01 09:00,73.40,68.00,83.21,40.00,4.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,73.40,SBCG 010900Z 04004KT CAVOK 23/20 Q1012,
SBCG,2023-01-01 10:00,75.20,69.80,83.32,70.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,75.20,SBCG 011000Z 07006KT CAVOK 24/21 Q1013,
SBCG,2023-01-01 11:00,80.60,69.80,69.71,20.00,11.00,0.00,29.94,,6.21,,,,,,,,,,,,,,,,,83.90,SBCG 011100Z 02011KT CAVOK 27/21 Q1014,
SBCG,2023-01-01 12:00,82.40,69.80,65.74,10.00,12.00,0.00,29.97,,6.21,,FEW,,,,3000.00,,,,,,,,,,,86.22,SBCG 011200Z 01012KT 9999 FEW030 28/21 Q1015,
SBCG,2023-01-01 13:00,84.20,71.60,65.95,340.00,14.00,0.00,29.97,,6.21,,SCT,,,,3000.00,,,,,,,,,,,89.60,SBCG 011300Z 34014KT 9999 SCT030 29/22 Q1015,
SBCG,2023-01-01 14:00,86.00,71.60,62.25,340.00,13.00,0.00,29.97,,6.21,,BKN,,,,3000.00,,,,,,,,,,,91.92,SBCG 011400Z 34013KT 9999 BKN030 30/22 Q1015,
SBCG,2023-01-01 15:00,87.80,71.60,58.78,330.00,14.00,0.00,29.94,,6.21,,BKN,,,,3000.00,,,,,,,,,,,94.18,SBCG 011500Z 33014KT 9999 BKN030 31/22 Q1014,
SBCG,2023-01-01 16:00,84.20,71.60,65.95,310.00,11.00,0.00,29.94,,6.21,,BKN,FEW,SCT,,3000.00,5000.00,7000.00,,VCSH,,,,,,,89.60,SBCG 011600Z 31011KT 9999 VCSH BKN030 FEW050TCU SCT070 29/22 Q1014,
SBCG,2023-01-01 17:00,84.20,71.60,65.95,320.00,11.00,0.00,29.91,,6.21,,BKN,FEW,SCT,,3000.00,5000.00,7000.00,,,,,,,,,89.60,SBCG 011700Z 32011KT 9999 BKN030 FEW050TCU SCT070 29/22 Q1013,
SBCG,2023-01-01 18:00,86.00,71.60,62.25,310.00,8.00,0.00,29.88,,6.21,,SCT,FEW,SCT,,3500.00,5000.00,10000.00,,VCSH VCTS,,,,,,,91.92,SBCG 011800Z 31008KT 9999 VCSH VCTS SCT035 FEW050CB SCT100 30/22 Q1012,
SBCG,2023-01-01 19:00,86.00,71.60,62.25,280.00,5.00,0.00,29.85,,6.21,,SCT,FEW,SCT,,3500.00,5000.00,10000.00,,VCSH VCTS,,,,,,,91.92,SBCG 011900Z 28005KT 9999 VCSH VCTS SCT035 FEW050CB SCT100 30/22 Q1011,
SBCG,2023-01-01 20:00,86.00,71.60,62.25,,4.00,0.00,29.85,,6.21,,SCT,FEW,SCT,,3500.00,5000.00,10000.00,,VCSH VCTS,,,,,,,91.92,SBCG 012000Z VRB04KT 9999 VCSH VCTS SCT035 FEW050CB SCT100 30/22 Q1011,
SBCG,2023-01-01 21:00,86.00,69.80,58.55,340.00,6.00,0.00,29.83,,6.21,,FEW,FEW,SCT,,4000.00,5000.00,10000.00,,VCSH VCTS,,,,,,,90.58,SBCG 012100Z 34006KT 9999 VCSH VCTS FEW040 FEW050CB SCT100 30/21 Q1010,
SBCG,2023-01-01 22:00,84.20,71.60,65.95,350.00,3.00,0.00,29.85,,6.21,,FEW,FEW,SCT,,4000.00,5000.00,10000.00,,,,,,,,,89.60,SBCG 012200Z 35003KT 9999 FEW040 FEW050TCU SCT100 29/22 Q1011,
SBCG,2023-01-01 23:00,82.40,73.40,74.28,360.00,5.00,0.00,29.85,,6.21,,FEW,FEW,BKN,,4500.00,5000.00,10000.00,,VCSH,,,,,,,88.26,SBCG 012300Z 36005KT 9999 VCSH FEW045 FEW050TCU BKN100 28/23 Q1011,
SBCG,2023-01-02 00:00,82.40,71.60,69.90,60.00,9.00,0.00,29.88,,6.21,,SCT,FEW,BKN,,4500.00,5000.00,10000.00,,VCSH,,,,,,,87.18,SBCG 020000Z 06009KT 9999 VCSH SCT045 FEW050TCU BKN100 28/22 Q1012,
SBCG,2023-01-02 01:00,78.80,69.80,73.95,350.00,3.00,0.00,29.91,,6.21,,SCT,FEW,BKN,,4500.00,5000.00,10000.00,,VCTS,,,,,,,78.80,SBCG 020100Z 35003KT 9999 VCTS SCT045 FEW050CB BKN100 26/21 Q1013,
SBCG,2023-01-02 02:00,78.80,71.60,78.62,10.00,4.00,0.00,29.91,,6.21,,FEW,FEW,BKN,,4500.00,5000.00,10000.00,,,,,,,,,78.80,SBCG 020200Z 01004KT 9999 FEW045 FEW050TCU BKN100 26/22 Q1013,
SBCG,2023-01-02 03:00,77.00,73.40,88.67,70.00,5.00,0.00,29.91,,6.21,,FEW,FEW,BKN,,4500.00,5000.00,10000.00,,VCTS,,,,,,,77.00,SBCG 020300Z 07005KT 9999 VCTS FEW045 FEW050CB BKN100 25/23 Q1013,
