station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBGR,2023-01-01 00:00,69.80,66.20,88.34,80.00,3.00,0.00,30.09,,6.21,,BKN,,,,1500.00,,,,,,,,,,,69.80,SBGR 010000Z 08003KT 9999 BKN015 21/19 Q1019,
SBGR,2023-01-01 01:00,68.00,66.20,93.97,110.00,5.00,0.00,30.06,,3.73,,BKN,,,,1300.00,,,,,,,,,,,68.00,SBGR 010100Z 11005KT 6000 BKN013 20/19 Q1018,
SBGR,2023-01-01 02:00,69.80,68.00,94.01,80.00,6.00,0.00,30.06,,4.97,,SCT,,,,900.00,,,,,,,,,,,69.80,SBGR 010200Z 08006KT 8000 SCT009 21/20 Q1018,
SBGR,2023-01-01 03:00,68.00,66.20,93.97,70.00,6.00,0.00,30.06,,5.59,,SCT,,,,1000.00,,,,,,,,,,,68.00,SBGR 010300Z 07006KT 9000 SCT010 20/19 Q1018,
SBGR,2023-01-01 04:00,66.20,66.20,100.00,60.00,6.00,0.00,30.03,,3.73,,FEW,,,,600.00,,,,,,,,,,,66.20,SBGR 010400Z 06006KT 6000 FEW006 19/19 Q1017,
SBGR,2023-01-01 05:00,64.40,64.40,100.00,80.00,7.00,0.00,30.03,,6.21,,FEW,,,,600.00,,,,,,,,,,,64.40,SBGR 010500Z 08007KT 9999 FEW006 18/18 Q1017,
SBGR,2023-01-01 06:00,64.40,64.40,100.00,80.00,4.00,0.00,30.03,,6.21,,FEW,,,,300.00,,,,,,,,,,,64.40,SBGR 010600Z 08004KT 9999 FEW003 18/18 Q1017,
SBGR,2023-01-01 07:00,64.40,64.40,100.00,100.00,3.00,0.00,30.03,,4.35,,SCT,,,,300.00,,,,,,,,,,,64.40,SBGR 010700Z 10003KT 7000 SCT003 18/18 Q1017,
SBGR,2023-01-01 08:00,62.60,62.60,100.00,0.00,0.00,0.00,30.03,,3.11,,SCT,,,,100.00,,,,BCFG BR,,,,,,,62.60,COR SBGR 010800Z 00000KT 5000 1000E R28R/0500D R10R/P2000 R10L/P2000 R28L/P2000 BCFG BR SCT001 17/17 Q1017,
SBGR,2023-01-01 09:00,62.60,62.60,100.00,0.00,0.00,0.00,30.03,,3.73,,SCT,,,,300.00,,,,BCFG,,,,,,,62.60,SBGR 010900Z 00000KT 6000 1200E R28R/0900U R10R/P2000 R10L/P2000 R28L/P2000 BCFG SCT003 17/17 Q1017,
