"date","aqs","pm25","o3"
2024-01-01 00:00:00,"Pinheiros",NA,NA
2024-01-01 01:00:00,"Pinheiros",10,38
2024-01-01 02:00:00,"Pinheiros",16,47
2024-01-01 03:00:00,"Pinheiros",22,43
2024-01-01 04:00:00,"Pinheiros",21,23
2024-01-01 05:00:00,"Pinheiros",14,26
2024-01-01 06:00:00,"Pinheiros",11,25
2024-01-01 07:00:00,"Pinheiros",14,27
2024-01-01 08:00:00,"Pinheiros",9,25
2024-01-01 09:00:00,"Pinheiros",11,35
2024-01-01 10:00:00,"Pinheiros",7,42
2024-01-01 11:00:00,"Pinheiros",8,46
2024-01-01 12:00:00,"Pinheiros",9,51
2024-01-01 13:00:00,"Pinheiros",12,47
2024-01-01 14:00:00,"Pinheiros",15,57
2024-01-01 15:00:00,"Pinheiros",11,53
2024-01-01 16:00:00,"Pinheiros",18,53
2024-01-01 17:00:00,"Pinheiros",14,47
2024-01-01 18:00:00,"Pinheiros",19,42
2024-01-01 19:00:00,"Pinheiros",17,32
2024-01-01 20:00:00,"Pinheiros",14,22
2024-01-01 21:00:00,"Pinheiros",13,26
2024-01-01 22:00:00,"Pinheiros",13,26
2024-01-01 23:00:00,"Pinheiros",12,28
2024-01-02 00:00:00,"Pinheiros",9,28
2024-01-02 01:00:00,"Pinheiros",12,33
2024-01-02 02:00:00,"Pinheiros",13,26
2024-01-02 03:00:00,"Pinheiros",12,23
2024-01-02 04:00:00,"Pinheiros",12,33
2024-01-02 05:00:00,"Pinheiros",16,32
2024-01-02 06:00:00,"Pinheiros",7,29
2024-01-02 07:00:00,"Pinheiros",5,30
2024-01-02 08:00:00,"Pinheiros",6,28
2024-01-02 09:00:00,"Pinheiros",4,33
2024-01-02 10:00:00,"Pinheiros",2,37
2024-01-02 11:00:00,"Pinheiros",2,61
2024-01-02 12:00:00,"Pinheiros",10,68
2024-01-02 13:00:00,"Pinheiros",5,112
2024-01-02 14:00:00,"Pinheiros",15,144
2024-01-02 15:00:00,"Pinheiros",25,138
2024-01-02 16:00:00,"Pinheiros",29,94
2024-01-02 17:00:00,"Pinheiros",19,71
2024-01-02 18:00:00,"Pinheiros",22,63
2024-01-02 19:00:00,"Pinheiros",14,49
2024-01-02 20:00:00,"Pinheiros",14,34
2024-01-02 21:00:00,"Pinheiros",18,35
2024-01-02 22:00:00,"Pinheiros",12,36
2024-01-02 23:00:00,"Pinheiros",13,50
2024-01-03 00:00:00,"Pinheiros",6,40
2024-01-03 01:00:00,"Pinheiros",13,34
2024-01-03 02:00:00,"Pinheiros",11,45
2024-01-03 03:00:00,"Pinheiros",5,35
2024-01-03 04:00:00,"Pinheiros",13,36
2024-01-03 05:00:00,"Pinheiros",6,36
2024-01-03 06:00:00,"Pinheiros",12,19
2024-01-03 07:00:00,"Pinheiros",5,15
2024-01-03 08:00:00,"Pinheiros",5,13
2024-01-03 09:00:00,"Pinheiros",8,19
2024-01-03 10:00:00,"Pinheiros",6,33
2024-01-03 11:00:00,"Pinheiros",8,49
2024-01-03 12:00:00,"Pinheiros",2,76
2024-01-03 13:00:00,"Pinheiros",5,93
2024-01-03 14:00:00,"Pinheiros",6,83
